,Symbol,Company
80,AGFSW,Agrofresh Sol Wrrnts
81,AGIO,Agios Pharmaceuticals
82,AGLE,Aeglea Biothera
83,AGMH,Agm Group Holdings Inc Cl A
84,AGNC,American Capital Age
85,AGNCM,Agnc Investment Corp Cum Red Pfd Ser D Fixed To
86,AGNCN,Agnc Investment Corp
87,AGNCO,Agnc Investment Corp Fxdfr Prf Perpetual USD 25
88,AGNCP,Agnc Investment Corp.
89,AGND,Wisdomtree Neg Duration US Agg Bond Fund
90,AGRX,Agile Therap
91,AGTC,Applied Genetic Tech
92,AGYS,Agilysys Inc
93,AGZD,Wisdomtree Int Rate US Agg Bond Fund
94,AHCO,Adapthealth Corp. Cl. A
95,AHPI,Allied Healthcare
96,AIA,Asia 50 Ishares ETF
97,AIH,Aesthetic Medical International Holdings Group L
98,AIHS,Senmiao Technology Ltd
99,AIKI,Alkido Pharma Inc.
100,AIMC,Altra Indtl Mtn
101,AIMT,Aimmune Therap
102,AINV,Apollo Investment Company
103,AIQ,Global X Future Analytics Tech ETF
104,AIRG,Airgain Inc
105,AIRR,Rba American Industrial Renaissance ETF FT
106,AIRT,Air T Inc
107,AIRTP,Air T Inc Funding Alpha Income Trust Preferred
108,AIRTW,Air T Inc Funding WT
109,AKAM,Akamai Technologies
110,AKBA,Akebia Therapeutics
111,AKCA,Akcea Therapeutics Inc
112,AKER,Akers Biosciences
113,AKRO,Akero Therapeutics Inc
114,AKRX,Akorn Inc
115,AKTS,Akoustis Technologies Inc
116,AKTX,Akari Therapeutics
117,ALAC,Alberton Acquisition Corp
118,ALACR,Alberton Acquisition Corporation Rights
119,ALACU,Alberton Acquisition Corp Unit
120,ALACW,Alberton Acquisition Corp WT
121,ALBO,Albireo Pharma Inc
122,ALCO,Alico Inc
123,ALDX,Aldeyra Therapeu
124,ALEC,Alector Inc
125,ALGN,Align Technology
126,ALGT,Allegiant Travel Com
127,ALIM,Alimera Sciences Inc
128,ALJJ,Alj Regional Hold
129,ALKS,Alkermes Plc
130,ALLK,Allakos Inc
131,ALLO,Allogene Therapeutics Inc
132,ALLT,Allot Communications
133,ALNA,Allena Pharmaceuticals Inc
134,ALNY,Alnylam Pharmaceuticals
135,ALOT,Astronova Inc
136,ALPN,Alpine Immune Sciences Inc
137,ALRM,Alarm.com
138,ALRN,Aileron Therapeutics Inc
139,ALRS,Alerus Financial Corp
140,ALSK,Alaska Commun Sys
141,ALT,Altimmune Inc
142,ALTM,Altus Midstream Company
143,ALTR,Altair Engineering Inc Cl A
144,ALTY,G-X Super Dividend Alternatives ETF
145,ALXN,Alexion Pharm Inc
146,ALYA,Alithya Group Inc Cl A
147,AMAG,Amag Pharmaceuticals
148,AMAL,Amalgamated Bk
149,AMAT,Applied Materials
150,AMBA,Ambarella Inc
151,AMCA,Russell 1000 Pure US Rev Ishares ETF
152,AMCI,Amci Acquisition Corp Cl A
153,AMCIU,Amci Acquisition Corp Unit
154,AMCIW,Amci Acquisition Corp WT
155,AMCX,Amc Networks Cl A
156,AMD,Adv Micro Devices
157,AMED,Amedisys Inc
158,AMEH,Apollo Medical Holdings Inc
159,AMGN,Amgen Inc
160,AMHC,Amplitude Healthcare Acquisition Corporation Cl
161,AMHCU,Amplitude Healthcare Acquisition Corp
162,AMHCW,Amplitude Healthcare Acquisition Corporation WT
163,AMKR,Amkor Technology
164,AMNB,American Natl Bksh
165,AMOT,Allied Motion Tech
166,AMPH,Amphastar Pharma
167,AMRB,American River Bkshs
168,AMRH,Ameri Holdings Inc
169,AMRHW,Ameri Holdings Inc WT
170,AMRK,A-Mark Precious Meta
171,AMRN,Amarin Corp Ads
172,AMRS,Amyris Inc
173,AMSC,Amer Superconductor
174,AMSF,Amerisafe Inc
175,AMSWA,Amer Software Inc
176,AMTB,Mercantil Bank Holding Cl A
177,AMTBB,Mercantil Bank Holding Cl B
178,AMTD,TD Ameritrade HD
179,AMTI,Applied Molecular Transport Inc
180,AMTX,Aemetis Inc
181,AMWD,Amer Woodmark Cp
182,AMZN,Amazon.com Inc
183,ANAB,Anaptysbio Inc
184,ANAT,Amer Natl Insurance
185,ANCN,Anchiano Therapeutics Ltd ADR
186,ANDA,Andina Acquisition Corp III
187,ANDAR,Andina Acquisition Corp III Right
188,ANDAU,Andina Acquisition Corp III Unit
189,ANDAW,Andina Acquisition Corp III WT
190,ANDE,Andersons Inc
191,ANGI,Homeservices Inc
192,ANGL,Fallen Angel HY Bond ETF Vaneck
193,ANGO,Angiodynamics Inc
194,ANIK,Anika Therapeutics
195,ANIP,ANI Pharma Inc
196,ANIX,Anixa Biosciences Inc
197,ANPC,Anpac Bio-Medical Science CO ADR
198,ANSS,Ansys Inc
199,ANTE,Airnet Technology Inc
200,ANY,Sphere 3D Corp
201,AOBC,American Outdoor Brands Corp
202,AOSL,Alpha and Omega Semi
203,APA,Apache Corp
204,APDN,Applied Dna Scns
205,APEI,American Public Eduducation
206,APEN,Apollo Endosurgery Inc
207,APEX,Apex Global Brands Inc
208,APHA,Aphria Inc
209,APLS,Apellis Pharmaceuticals Inc
210,APLT,Applied Therapeutics Inc
211,APM,Aptorum Group Ltd Cl A
212,APOG,Apogee Entrpr Inc
213,APOP,Cellect Biotechnology Ltd
214,APOPW,Cellect Biotechnology Ltd
215,APPF,Appfolio Cl A
216,APPN,Appian Corp Cl A
217,APPS,Digital Turbine
218,APRE,Aprea Therapeutics Inc
219,APTO,Aptose Bioscns
220,APTX,Aptinyx Inc
221,APVO,Aptevo Therapeutics Inc
222,APWC,Asia Pacific Wire & Cable
223,APXT,Apex Technology Acquisition Corporation Cl A
224,APXTU,Apex Technology Acquisition Corp
225,APXTW,Apex Technology Acquisition Corporation WT
226,APYX,Apyx Medical Corp
227,AQB,Aquabounty Technologies Inc
228,AQMS,Aqua Metals Inc
229,AQST,Aquestive Therapeutics Inc
230,ARAV,Aravive Inc
231,ARAY,Accuray Incorporated
232,ARCB,Arcbest Corp
233,ARCC,Ares Capital Corp
234,ARCE,Arco Platform Ltd Cl A
235,ARCT,Arcturus Therapeutics Ltd
236,ARDS,Aridis Pharmaceuticals Inc
237,ARDX,Ardelyx Inc
238,AREC,American Resources Corp
239,ARGX,Argenx Se Ads
240,ARKR,Ark Restaurants Cp
241,ARLP,Alliance Resource Pt
242,ARNA,Arena Pharmaceuticals
243,AROW,Arrow Financial Corp
244,ARPO,Aerpio Pharmaceuticals Inc
245,ARQT,Arcutis Biotherapeutics Inc
246,ARTL,Artelo Biosciences Inc
247,ARTLW,Artelo Biosciences Inc WT
248,ARTNA,Artesian Res Cp A
249,ARTW,Art S Way MFG Company
250,ARVN,Arvinas Inc
251,ARWR,Arrowhead Pharma
252,ARYA,Arya Sciences Acquisiton Corp Cl A
253,ARYAU,Arya Sciences Acquisiton Corp Unit
254,ARYAW,Arya Sciences Acquisiton Corp WT
255,ARYBU,Arya Sciences Acquisition Corp II
256,ASET,Flexshares Real Assets Allocation Index Fund
257,ASFI,Asta Funding Inc
258,ASLN,Aslan Pharmaceuticals Ltd ADR
259,ASMB,Assembly Biosciences
260,ASML,Asml Hld NY Reg
261,ASNA,Ascena Retail Group
262,ASND,Ascendis Pharma Ads
263,ASPS,Altisource Portfolio
264,ASPU,Aspen Group Inc
265,ASRT,Assertio Therapeutics Inc
266,ASRV,Ameriserv Financial
267,ASRVP,Ameriserv Fin Cap
268,ASTC,Astrotech Corp
269,ASTE,Astec Inds Inc
270,ASUR,Asure Software
271,ASYS,Amtech Systems Inc
272,ATAX,Amer First Mf Inv
273,ATCX,Atlas Technical Consultants Inc.
274,ATCXW,Atlas Technical Consultants Inc.
275,ATEC,Alphatec Holdings
276,ATEX,Pdvwireless
277,ATHE,Alterity Therapeutics Ltd
278,ATHX,Athersys Inc
279,ATIF,Atif Holdings Ltd
280,ATLC,Atlanticus Hld Cp
281,ATLO,Ames Natl Corp
282,ATNI,Atn International
283,ATNX,Athenex Inc
284,ATOM,Atomera Inc
285,ATOS,Atossa Genetics Inc
286,ATRA,Atara Biotherap
287,ATRC,Atricure Inc
288,ATRI,Atrion Corp
289,ATRO,Astronics Cp
290,ATRS,Antares Pharma
291,ATSG,Air Transport
292,ATVI,Activision Blizzard
293,ATXI,Avenue Therapeutics Inc
294,AUB,Atlantic Union Bancshares Corp
295,AUBN,Auburn Natl Bncp
296,AUDC,Audiocodes Ltd
297,AUPH,Aurinia Pharm Ord
298,AUTL,Autolus Therapeutics Plc ADR
299,AUTO,Autoweb Inc
300,AVAV,Aerovironment Inc
301,AVCO,Avalon Globocare
302,AVCT,American Virtual Cloud Tech Inc.
303,AVCTW,American Virtual Cloud Tech Inc. Warrants
304,AVDL,Avadel Pharmaceuticals Plc
305,AVEO,Aveo Pharmaceuticals
306,AVGO,Broadcom Ltd
307,AVGOP,Broadcom Inc 8% Prf Undated USD 1000 Ser A
308,AVGR,Avinger Inc
309,AVID,Avid Tech Inc
310,AVNW,Aviat Networks Inc
311,AVRO,Avrobio Inc
312,AVT,Avnet Inc
313,AVXL,Anavex Lf SC
314,AWRE,Aware Inc
315,AXAS,Abraxas Petro Corp
316,AXDX,Accelerate Diagnosti
317,AXGN,Axogen Inc
318,AXGT,Axovant Sciences Ltd
319,AXLA,Axcella Health Inc
320,AXNX,Axonics Modulation Technologies Inc
321,AXSM,Axsome Thera
322,AXTI,Axt Inc
323,AY,Atlantica Yield Plc
324,AYLA,Ayala Pharmaceuticals Inc
325,AYRO,Ayro Inc.
326,AYTU,Aytu Bioscience Inc
327,AZPN,Aspen Technology
328,AZRX,Azurrx Biopharma Inc
329,BAND,Bandwidth Inc
330,BANF,Bancfirst Corp
331,BANFP,Bfc Capital Trust II
332,BANR,Banner Corp
333,BANX,Stonecastle Fncl Cp
334,BASI,Bioanalytical Syst
335,BATRA,Liberty Braves CS A
336,BATRK,Liberty Braves CS C
337,BBBY,Bed Bath & Beyond
338,BBCP,Concrete Pumping Holdings Inc
339,BBGI,Beasley Brdcst Gr
340,BBH,Biotech Vaneck ETF
341,BBI,Brickell Biotech Inc
342,BBIO,Bridgebio Pharma Inc
343,BBQ,Bbq Holdings Inc
344,BBSI,Barrett Business S
345,BCBP,Bcb Bancorp Inc
346,BCDA,Biocardia Inc
347,BCDAW,Biocardia Inc WT
348,BCEL,Atreca Inc Cl A
349,BCLI,Brainstorm Cell
350,BCML,Bay Commercial Bk CA
351,BCOM,B Communications Ltd
352,BCOR,Blucora Inc
353,BCOV,Brightcove Inc
354,BCOW,1895 Bancorp of Wisconsin Inc
355,BCPC,Balchem Cp
356,BCRX,Biocryst Pharma Inc
357,BCTF,Bancorp 34 Inc
358,BCYC,Bicycle Therapeutics Plc ADR
359,BDGE,Bridge Bancorp Inc
360,BDSI,Biodelivery Sci Intl
361,BDTX,Black Diamond Therapeutics Inc
362,BEAM,Beam Therapeutics Inc
363,BEAT,Biotelemetry Inc
364,BECN,Beacon Roofing Suppl
365,BELFA,BEL Fuse Cl A
366,BELFB,BEL Fuse Inc Cl B
367,BFC,Bank First National Corp [Wisconsin]
368,BFIN,Bankfinancial Corp
369,BFIT,G-X Health & Wellness Thematic Et
370,BFRA,Biofrontera Ag ADR
371,BFST,Business First Bancshares Inc
372,BFYT,Benefytt Technologies Inc.
373,BGCP,Bgc Partners Cl A
374,BGFV,Big 5 Sporting
375,BGNE,Beigene Ltd Ads
376,BGRN,Ishares Global Green Bond ETF
377,BHAT,Blue Hat Interactive Entertainment Tech
378,BHF,Brighthouse Financial Inc
379,BHFAL,Brighthouse Financial Inc 6.25% Junior Subordi
380,BHFAO,Brighthouse Financial Inc
381,BHFAP,Brighthouse Financial Inc Dep Shs Repstg 1/1000T
382,BHTG,Biohitech Global Inc
383,BIB,Ultra Nasdaq Biotech Proshares
384,BICK,BICK Index Fund FT
385,BIDU,Baidu Inc
386,BIIB,Biogen Inc
387,BILI,Bilibili Inc ADR
388,BIMI,NF Energy Saving Corp
389,BIOC,Biocept Inc
390,BIOL,Biolase Inc
391,BIS,Ultrashort Biotechnology Proshares
392,BJK,Gaming ETF Vaneck
393,BJRI,Bj's Restaurants Inc
394,BKCC,Blackrock Cptl Invt
395,BKEP,Blueknight Energy LP
396,BKEPP,Blueknight Srs A Uts
397,BKNG,Booking Holdings Inc
398,BKSC,Bank of So Car Cp
399,BKYI,Bio-Key Intl Inc
400,BL,Blackline Inc
401,BLBD,Blue Bird Corp
402,BLCM,Bellicum Pharma Comm
403,BLCN,Reality Shares Nasdaq Nextgen Economy ETF
404,BLDP,Ballard Power Sys
405,BLDR,Builders Firstsource
406,BLFS,Biolife Solutions
407,BLIN,Bridgeline Digital
408,BLKB,Blackbaud Inc
409,BLMN,Bloomin' Brands Inc
410,BLNK,Blink Charging Company
411,BLNKW,Blink Charging Co. WT
412,BLPH,Bellerophon Ther Com
413,BLRX,Biolinerx Ltd
414,BLU,Bellus Health Inc
415,BLUE,Bluebird Bio
416,BMCH,Bmc Stock Holdings
417,BMLP,Dorsey Wright MLP Index ETN
418,BMRA,Biomerica Inc
419,BMRC,Bank of Marin Bancrp
420,BMRN,Biomarin Pharmaceuticals
421,BMTC,Bryn Mawr Bank Corp
422,BND,Total Bond Market ETF Vanguard
423,BNDW,Total World Bond Vanguard ETF
424,BNDX,Total Intl Bond ETF Vanguard
425,BNFT,Benefitfocus
426,BNGO,Bionano Genomics Inc
427,BNGOW,Bionano Genomics Inc WT
428,BNSO,Bonso Elec Intl IN
429,BNTC,Benitec Biopharma Ltd
430,BNTX,Biontech Se ADR
431,BOCH,Bank of Commerce Hld
432,BOKF,Bok Financial Corp
433,BOKFL,Bok Financial Corp
434,BOMN,Boston Omaha Corp Cl A
435,BOOM,Dynamic Materials
436,BOSC,Bos Better Online
437,BOTJ,Bank of The Jame Fnl
438,BOTZ,G-X Robotics & Artificial Intel Thmtc ETF
439,BOXL,Boxlight Corp Cl A
440,BPFH,Boston Pvt Finl Hld
441,BPMC,Blueprint Medicines Corp
442,BPOP,Popular Inc
443,BPOPM,Popular Inc Trust II
444,BPOPN,Popular Inc Trust
445,BPRN,Bank of Princeton
446,BPTH,Bio-Path Holdings
447,BPY,Brookfield Property Partners L
448,BPYPN,Brookfield Property Partners L.P. 5.75% Prf Perp
449,BPYPO,Brookfield Property Partners L.P. 6.375% Prf P
450,BPYPP,Brookfield Property Partners LP Pfd Unit Ltd Par
451,BPYU,Brookfield Property REIT Inc
452,BPYUP,Brookfield Property REIT Inc 6.375% Series A
453,BREW,Craft Brew Alliance
454,BRID,Bridgford Foods Cp
455,BRKL,Brookline Bancorp
456,BRKR,Bruker Corp
457,BRKS,Brooks Automation
458,BROG,Brooge Holdings Ltd.
459,BROGW,Brooge Holdings Ltd. Warrants
460,BRP,Brp Group Inc Cl A
461,BRPA,Big Rock Partners Acquisition Corp
462,BRPAR,Big Rock Partners Acquisition Corp Right
463,BRPAU,Big Rock Partners Acquisition Corp Unit
464,BRPAW,Big Rock Partners Acquisition Corp WT
465,BRQS,Borqs Technologies Inc
466,BRY,Berry Pete Corp
467,BSAE,Invesco Bulletshares 2021 USD EM Debt ETF
468,BSBE,Invesco Bulletshares 2022 USD Emerging Markets D
469,BSBK,Bogota Financial Corp
470,BSCE,Invesco Bulletshares 2023 USD EM Debt ETF
471,BSCK,Bs 2020 Corp Bond Invesco ETF
472,BSCL,Bs 2021 Corp Bond Invesco ETF
473,BSCM,Bs 2022 Corp Bond Invesco ETF
474,BSCN,Bs 2023 Corp Bond Invesco ETF
475,BSCO,Bs 2024 Corp Bond Invesco ETF
476,BSCP,Bs 2025 Corp Bond Invesco ETF
477,BSCQ,Bs 2026 Corp Bond Invesco ETF
478,BSCR,Bs 2027 Corp Bond Invesco ETF
479,BSCS,Invesco Bulletshares 2028 Corporate Bond ETF
480,BSCT,Invesco 2029 Corporate Bond ETF
481,BSDE,Invesco Bulletshares 2024 USD Emerging Markets D
482,BSET,Bassett Furniture
483,BSGM,Biosig Technologies
484,BSJK,Bs 2020 High Yield Corp Bond Invesco ETF
485,BSJL,Bs 2021 High Yield Corp Bond Invesco ETF
486,BSJM,Bs 2022 High Yield Corp Bond Invesco ETF
487,BSJN,Bs 2023 High Yield Corp Bond Invesco ETF
488,BSJO,Bs 2024 High Yield Corp Bond Invesco ETF
489,BSJP,Bs 2025 High Yield Corp Bond Invesco ETF
490,BSJQ,Invesco Bulletshares 2026 High Yield Corporate B
491,BSJR,Invesco 2027 High Yield Corporate Bond ETF
492,BSML,Invesco Bulletshares 2021 Municipal Bond ETF
493,BSMM,Invesco Bulletshares 2022 Municipal Bond ETF
494,BSMN,Invesco Bulletshares 2023 Municipal Bond ETF
495,BSMO,Invesco Bulletshares 2024 Municipal Bond ETF
496,BSMP,Invesco Bulletshares 2025 Municipal Bond ETF
497,BSMQ,Invesco Bulletshares 2026 Municipal Bond ETF
498,BSMR,Invesco Bulletshares 2027 Municipal Bond ETF
499,BSMS,Invesco Bulletshares 2028 Municipal Bond ETF
500,BSMT,Invesco Bulletshares 2029 Municipal Bond ETF
501,BSQR,Bsquare Corp
502,BSRR,Sierra Bancorp
503,BSTC,Biospecifics Tech Cp
504,BSVN,Bank7 Corp
505,BTAI,Bioxcel Therapeutics Inc
506,BTEC,Principal Healthcare Innovators Index
507,BUG,Global X Cybersecurity ETF
508,BUSE,First Busey Corp
509,BVSN,Broadvision Inc
510,BVXV,Biondvax Pharma Ads
511,BVXVW,Biondvax Pharma WT
512,BWAY,Brainsway Ltd ADR
513,BWB,Bridgewater Bancshares Inc
514,BWEN,Broadwind Energy Inc
515,BWFG,Bankwell Financial
516,BWMX,Betterware DE Mexico Da DE Cv
517,BXRX,Baudax Bio Inc
518,BYFC,Broadway Fin Cp
519,BYND,Beyond Meat Inc
520,BYSI,Beyondspring Inc
521,BZUN,Baozun Inc Ads
522,CAAS,China Automotive Sys
523,CABA,Cabaletta Bio Inc
524,CAC,Camden Natl Cp
525,CACC,Credit Acceptance
526,CACG,Legg Clearbridge All Cap Growth ETF
527,CAKE,Cheesecake Fact
528,CALA,Calithera Biosci Com
529,CALB,California Bancorp
530,CALM,Cal-Maine Foods IN
531,CALT,Calliditas Therapeutics Ab American Depositary S
532,CAMP,Calamp Corp
533,CAMT,Camtek Ltd
534,CAN,Canaan Inc ADR
535,CAPR,Capricor Therap
536,CAR,Avis Budget Group
537,CARA,Cara Therapeutics
538,CARE,Carter Bank&Tr [Va]
539,CARG,Cargurus Inc Cl A
540,CARV,Carver Bancorp
541,CARZ,Nasdaq Global Auto Index Fund FT
542,CASA,Casa Systems Inc
543,CASH,Meta Financial Group
544,CASI,Casi Phrmactcls Inc
545,CASS,Cass Information Sys
546,CASY,Casey's General Stor
547,CATB,Catabasis Pharma
548,CATC,Cambridge Bancorp
549,CATH,G-X S&P 500 Catholic Values ETF
550,CATM,Cardtronics Inc
551,CATS,Catasys Inc
552,CATY,Cathay Genl Bncp
553,CBAN,Colony Bankcorp Inc
554,CBAT,Cbak Energy Technology Inc
555,CBAY,Cymabay Therapeutics
556,CBFV,Cb Financial Svc
557,CBIO,Catalyst Bio
558,CBLI,Cleveland Biolabs
559,CBMB,Cbm Bancorp Inc
560,CBMG,Cellular Biomedicine
561,CBNK,Capital Bancorp Inc
562,CBPO,China Biologic Produ
563,CBRL,Cracker Barrel
564,CBSH,Commerce Bancshares
565,CBSHP,Commerce BNC B Dep
566,CBTX,Cbtx Inc
567,CCAP,Crescent Capital Bdc Inc.
568,CCB,Coastal Financial Corp
569,CCBG,Capital City Bank Gr
570,CCCL,China Ceramics Company
571,CCD,Calams Dy Cnv IN
572,CCLP,CSI Compressco
573,CCMP,Cabot Microelectron
574,CCNC,Code Chain New Continent Ltd.
575,CCNE,Cnb Financial Corp
576,CCOI,Cogent Comm Hlds
577,CCRC,China Customer Ord
578,CCRN,Cross Ctry Hlthcr
579,CCXI,Chemocentryx Inc
580,CDC,Victory US Eqty Income Ehnd Vol Wtd ETF
581,CDEV,Centennial Resource Development Inc
582,CDK,Cdk Global Inc
583,CDL,Victory US Largecap HI Div Vol Wtd ETF
584,CDLX,Cardlytics Inc
585,CDMO,Avid Bioservices Inc
586,CDMOP,Avid Bioservices Inc
587,CDNA,Caredx Inc
588,CDNS,Cadence Design Sys
589,CDTX,Cidara Thera
590,CDW,CDW Corp
591,CDXC,Chromadex Corp CS
592,CDXS,Codexis Inc
593,CDZI,Cadiz Inc
594,CECE,C E C O Envir
595,CELC,Celcuity Inc
596,CELH,Celsius Holdings Inc
597,CEMI,Chembio Diagnostics
598,CENT,Central Garden
599,CENTA,Central Garden & Pet
600,CENX,Century Aluminum C
601,CERC,Cerecor Inc
602,CERN,Cerner Corp
603,CERS,Cerus Corp
604,CETV,Central EUR Med A
605,CETX,Cemtrex Inc
606,CETXP,Cemtrex Inc Series 1 Pfd
607,CETXW,Cemtrex Inc Series 1 WT
608,CEVA,Ceva Inc
609,CEY,Victoryshares Emerging Market High Div Vol Wtd E
610,CEZ,Victory EM Vol Wtd ETF
611,CFA,Victory US 500 Vol ETF
612,CFB,Crossfirst Bankshares Inc
613,CFBI,Community First Bancshares Inc
614,CFBK,Central Fed Cp
615,CFFA,Cf Finance Acquisition Corp Cl A
616,CFFAU,Cf Finance Acquisition Corp Unit
617,CFFAW,Cf Finance Acquisition Corp WT
618,CFFI,C&F Financial Corp
619,CFFN,Capitol Fed Finl Inc
620,CFMS,Conformis Inc CS
621,CFO,Victory US 500 Ehnd Vol Wtd ETF
622,CFRX,Contrafect
623,CG,The Carlyle Group
624,CGBD,Tcg Bdc Inc
625,CGEN,Compugen Ltd
626,CGIX,Cancer Genetics Inc
627,CGNX,Cognex Cp
628,CGO,Calamos Glb Ttl Rtn
629,CGROU,Collective Growth Corp
630,CHCI,Comstock Hlds Cos
631,CHCO,City Holding Company
632,CHDN,Churchill Downs IN
633,CHEF,The Chefs Warehouse
634,CHEK,Check-Cap Ltd Ord
635,CHEKZ,Check-Cap Ltd Series C WT
636,CHFS,Chf Solutions Inc
637,CHI,Calamos Cv Opp & Inc
638,CHKP,Check Point Software
639,CHMA,Chiasma Inc
640,CHMG,Chemung Financial Cp
641,CHNA,Loncar China Biopharma ETF
642,CHNG,Change Healthcare Inc
643,CHNGU,Change Healthcare Inc Tangible Equity Units
644,CHNR,China Natural Res
645,CHPM,Chp Merger Corp. Cl A
646,CHPMU,Chp Merger Corp
647,CHPMW,Chp Merger Corp. WT
648,CHRS,Coherus Bio
649,CHRW,C.H. Robinson Ww
650,CHSCL,CHS B Cum Pfd Srs 4
651,CHSCM,CHS Pfd Clb Ser3
652,CHSCN,CHS Inc Pfd B Srs 2
653,CHSCO,CHS Inc Cl B Pfd
654,CHSCP,CHS Inc
655,CHTR,Charter Communicatio
656,CHUY,Chuy's Holdings Inc
657,CHW,Calamos Gbl Dyn Inc
658,CHY,Calamos Cv & High IN
659,CIBR,Nasdaq Cybersecurity ETF FT
660,CID,Victory Intl HI Div Vol Wtd ETF
661,CIDM,Cinedigm Corp
662,CIGI,Colliers Intl Grp IN
663,CIH,China Index Holdings Ltd
664,CIIC,Ciig Merger Corp Cl A
665,CIICU,Ciig Merger Corp. Units
666,CIICW,Ciig Merger Corp. Warrants
667,CIL,Victory Intl Vol Wtd ETF
668,CINF,Cincinnati Financial
669,CIVB,Civista Bncshrs
670,CIZ,Victory Dev Enhd Vol Wtd ETF
671,CIZN,Citizens Hld Company
672,CJJD,China Jojo Drugstore
673,CKPT,Checkpoint Therapeutics Inc
674,CLAR,Clarus Corp
675,CLBK,Columbia Financial Inc
676,CLBS,Caladrius Bio
677,CLCT,Collectors Universe
678,CLDB,Cortland Bncp Crtld Ohio
679,CLDX,Celldex Therapeutics
680,CLEU,China Liberal Education Holdings Limited
681,CLFD,Clearfield Inc
682,CLGN,Collplant Biotechnologies Ltd
683,CLIR,Clearsign Combustion
684,CLLS,Cellectis S.A. ADR
685,CLMT,Calumet Specialty Pr
686,CLNE,Clean Energy Fuels
687,CLOU,Global X Cloud Computing ETF
688,CLPS,Clps Incorp
689,CLPT,Clearpoint Neuro Inc.
690,CLRB,Cellectar Biosc
691,CLRBZ,Cellectar Bio Sra WT
692,CLRG,IQ Chaikin U.S. Large Cap ETF
693,CLRO,Clearone Inc
694,CLSD,Clearside Biomedi
695,CLSK,Cleanspark Inc
696,CLSN,Celsion Corp
697,CLUB,Town Sports International
698,CLVS,Clovis Oncology Inc
699,CLWT,Euro Tech Hld
700,CLXT,Calyxt Inc
701,CMBM,Cambium Networks Corp
702,CMCO,Columbus Mckinnon
703,CMCSA,Comcast Corp A
704,CMCT,Cim Commercial TR Cp
705,CMCTP,Cim Commercial Trust Corp Series L
706,CME,CME Group Inc
707,CMFNL,Cm Finance Inc 6.125% Notes Due 2023
